species_name_submitted,key_in_bsbi
Polystichum munitum x setiferum,Polystichum munitum x setiferum = P. x lesliei Rumsey & Acock
Prunus cerasifera x spinosa (Prunus x simmleri),
Sorbus aucuparia x intermedia (Sorbus x liljeforsii),Sorbus aucuparia x intermedia = S. x liljeforsii T.C.G.Rich
Sorbus aucuparia x scalaris (Sorbus x proctoriana),
Crataegus heterophylla x monogyna,Crataegus monogyna x heterophylla
Rubus cockburnianus x idaeus (R. x knappianus),
Geum macrophyllum x urbanum (G. x gajewskii),
Rosa canina x rugosa (R. x praegeri),Rosa canina x rugosa = R. x praegeri Wolley-Dod
Alnus glutinosa x incana (A. x hybrida),Alnus glutinosa x incana = A. x hybrida A.Braun ex Rchb.
Alnus cordata x glutinosa (A. x elliptica),
Epilobium ciliatum x hirsutum (E. x novae-civitatis),Epilobium ciliatum x hirsutum = E. x novae-civitatis Smejkal
Epilobium ciliatum x parviflorum,Epilobium parviflorum x ciliatum = E. x floridulum Smejkal
Epilobium brunnescens x parviflorum (E. x argillaceum),Epilobium brunnescens x parviflorum = E. x argillaceum Kitchener
Epilobium ciliatum x montanum,Epilobium ciliatum x montanum = E. x interjectum Smejkal
Epilobium brunnescens x montanum,Epilobium montanum x brunnescens = E. x confusilobum Kitchener & McKean
Epilobium montanum x pedunculare (E. x kitcheneri),Epilobium montanum x pedunculare = E. x kitcheneri McKean
Epilobium ciliatum x lanceolatum,Epilobium lanceolatum x ciliatum
Epilobium brunnescens x lanceolatum (E. x cornubiense),Epilobium brunnescens x lanceolatum = E. x cornubiense Kitchener & McKean
Epilobium ciliatum x tetragonum,Epilobium tetragonum x ciliatum = E. x mentiens Smejkal
Epilobium ciliatum x obscurum,Epilobium ciliatum x obscurum = E. x vicinum Smejkal
Epilobium brunnescens x obscurum,Epilobium obscurum x brunnescens = E. x obscurescens Kitchener & McKean
Epilobium ciliatum x roseum,Epilobium roseum x ciliatum = E. x nutantiflorum Smejkal
Epilobium ciliatum x palustre,Epilobium ciliatum x palustre = E. x fossicola Smejkal
Epilobium brunnescens x palustre,Epilobium brunnescens x palustre = E. x chateri Kitchener & McKean
Rorippa austriaca x sylvestris (R. x armoracioides),Rorippa austriaca x sylvestris = R. x armoracioides (Tausch) Fuss
Rorippa amphibia x austriaca (R. x hungarica),Rorippa amphibia x austriaca = R. x hungarica Borbás
Brassica napus x oleracea,
Rumex crispus x frutescens (R. x mirabilis),
Rumex conglomeratus x frutescens (R. x wrightii),Rumex conglomeratus x cuneifolius = R. x wrightii Lousley
Rumex frutescens x obtusifolius (R. x cornubiensis),Rumex cuneifolius x obtusifolius = R. x cornubiensis Holyoak
Rumex confertus x crispus (R. x skofitzii),
Rumex confertus x obtusifolius (R. x borbasii),
Rumex crispus x cristatus (R. x dimidiatus),Rumex crispus x cristatus = R. x dimidiatus Hausskn
Rumex conglomeratus x cristatus,Rumex cristatus x conglomeratus
Rumex cristatus x obtusifolius (R. x lousleyi),Rumex cristatus x obtusifolius = R. x lousleyi D.H.Kent
