"key","taxonId.x","hybrid_species","parents","name","taxonId.y","native_status","StaceIV_nativity","native_combined"
"Polypodium cambricum x vulgare = P. x font-queri Rothm.","2cd4p9h.cr","Polypodium x font-queri Rothm.","parent1","Polypodium cambricum","2cd4p9h.y9y","N","N","native"
"Polypodium cambricum x vulgare = P. x font-queri Rothm.","2cd4p9h.cr","Polypodium x font-queri Rothm.","parent2","Polypodium vulgare","2cd4p9h.bvd","N","N","native"
"Polypodium cambricum x vulgare = P. x font-queri Rothm.","2cd4p9h.cr","Polypodium x font-queri Rothm.","parent2","Polypodium vulgare","2cd4p9h.v4k","N","N","native"
"Polypodium interjectum x vulgare = P. x mantoniae Rothm. & U.Schneid.","2cd4p9h.cz","Polypodium x mantoniae Rothm. & U.Schneid.","parent1","Polypodium interjectum","2cd4p9h.4kc","N","N","native"
"Polypodium interjectum x vulgare = P. x mantoniae Rothm. & U.Schneid.","2cd4p9h.cz","Polypodium x mantoniae Rothm. & U.Schneid.","parent2","Polypodium vulgare","2cd4p9h.bvd","N","N","native"
"Polypodium interjectum x vulgare = P. x mantoniae Rothm. & U.Schneid.","2cd4p9h.cz","Polypodium x mantoniae Rothm. & U.Schneid.","parent2","Polypodium vulgare","2cd4p9h.v4k","N","N","native"
"Polystichum munitum x setiferum = P. x lesliei Rumsey & Acock","2cd4p9h.d5","Polystichum x lesliei Rumsey & Acock","parent1","Polystichum munitum",NA,NA,"Neo-natd","neophyte"
"Polystichum munitum x setiferum = P. x lesliei Rumsey & Acock","2cd4p9h.d5","Polystichum x lesliei Rumsey & Acock","parent2","Polystichum setiferum","2cd4p9h.x72","N","N","native"
"Alopecurus geniculatus x pratensis = A. x brachystylus Peterm.","2cd4p9h.fy","Alopecurus x brachystylus Peterm.","parent1","Alopecurus geniculatus","2cd4p9h.x9f","N","N","native"
"Alopecurus geniculatus x pratensis = A. x brachystylus Peterm.","2cd4p9h.fy","Alopecurus x brachystylus Peterm.","parent2","Alopecurus pratensis","2cd4p9h.8a6","N","N","native"
"Lolium multiflorum x perenne = L. x boucheanum Kunth","2cd4p9h.1ds","Lolium x boucheanum Kunth","parent1","Lolium multiflorum","2cd4p9h.ff6","AN","Neo-natd","neophyte"
"Lolium multiflorum x perenne = L. x boucheanum Kunth","2cd4p9h.1ds","Lolium x boucheanum Kunth","parent2","Lolium perenne","2cd4p9h.5c1","N","N","native"
"Mentha aquatica x spicata = M. x piperita L.","2cd4p9h.1ft","Mentha x piperita L.","parent1","Mentha aquatica","2cd4p9h.xq4","N","N","native"
"Mentha aquatica x spicata = M. x piperita L.","2cd4p9h.1ft","Mentha x piperita L.","parent2","Mentha spicata","2cd4p9h.vna","AR","Arch-denizen","native"
"Narcissus jonquilla x pseudonarcissus = N. x odorus L.","2cd4p9h.1hv","Narcissus x odorus L.","parent1","Narcissus jonquilla",NA,NA,"Neo-surv","neophyte"
"Narcissus jonquilla x pseudonarcissus = N. x odorus L.","2cd4p9h.1hv","Narcissus x odorus L.","parent2","Narcissus pseudonarcissus","2cd4p9h.q7r","N","N","native"
"Populus alba x tremula = P. x canescens (Aiton) Sm.","2cd4p9h.1ma","Populus x canescens (Aiton) Sm.","parent1","Populus alba","2cd4p9h.945","AN","Neo-natd","neophyte"
"Populus alba x tremula = P. x canescens (Aiton) Sm.","2cd4p9h.1ma","Populus x canescens (Aiton) Sm.","parent2","Populus tremula","2cd4p9h.vrf","N","N","native"
"Potamogeton gramineus x lucens = P. x angustifolius J.Presl","2cd4p9h.1ms","Potamogeton x angustifolius J.Presl","parent1","Potamogeton gramineus","2cd4p9h.fxc","N","N","native"
"Potamogeton gramineus x lucens = P. x angustifolius J.Presl","2cd4p9h.1ms","Potamogeton x angustifolius J.Presl","parent2","Potamogeton lucens","2cd4p9h.1mg","N","N","native"
"Primula elatior x veris = P. x media Peterm.","2cd4p9h.1nf","Primula x media Peterm.","parent1","Primula elatior","2cd4p9h.p1g","N","N","native"
"Primula elatior x veris = P. x media Peterm.","2cd4p9h.1nf","Primula x media Peterm.","parent2","Primula veris","2cd4p9h.94t","N","N","native"
"Quercus petraea x robur = Q. x rosacea Bechst.","2cd4p9h.1y2","Quercus x rosacea Bechst.","parent1","Quercus petraea","2cd4p9h.vse","N","N","native"
"Quercus petraea x robur = Q. x rosacea Bechst.","2cd4p9h.1y2","Quercus x rosacea Bechst.","parent2","Quercus robur","2cd4p9h.1y5","N","N","native"
"Vaccinium myrtillus x vitis-idaea = V. x intermedium Ruthe","2cd4p9h.26a","Vaccinium x intermedium Ruthe","parent1","Vaccinium myrtillus","2cd4p9h.w50","N","N","native"
"Vaccinium myrtillus x vitis-idaea = V. x intermedium Ruthe","2cd4p9h.26a","Vaccinium x intermedium Ruthe","parent2","Vaccinium vitis-idaea","2cd4p9h.26d","N","N","native"
"Veronica anagallis-aquatica x catenata = V. x lackschewitzii J.B.Keller","2cd4p9h.279","Veronica x lackschewitzii J.B.Keller","parent1","Veronica anagallis-aquatica","2cd4p9h.9c9","N","N","native"
"Veronica anagallis-aquatica x catenata = V. x lackschewitzii J.B.Keller","2cd4p9h.279","Veronica x lackschewitzii J.B.Keller","parent2","Veronica catenata","2cd4p9h.fzv","N","N","native"
"Betula pendula x pubescens = B. x aurata Borkh.","2cd4p9h.28k","Betula x aurata Borkh.","parent1","Betula pendula","2cd4p9h.v93","N","N","native"
"Betula pendula x pubescens = B. x aurata Borkh.","2cd4p9h.28k","Betula x aurata Borkh.","parent2","Betula pubescens","2cd4p9h.bmf","N","N","native"
"Salix aurita x caprea = S. x capreola Jos. Kern. ex Andersson","2cd4p9h.28n","Salix x capreola Jos. Kern. ex Andersson","parent1","Salix aurita","2cd4p9h.1sp","N","N","native"
"Salix aurita x caprea = S. x capreola Jos. Kern. ex Andersson","2cd4p9h.28n","Salix x capreola Jos. Kern. ex Andersson","parent2","Salix caprea","2cd4p9h.1ss","N","N","native"
"Salix aurita x purpurea = S. x dichroa Döll","2cd4p9h.28q","Salix x dichroa Döll","parent1","Salix aurita","2cd4p9h.1sp","N","N","native"
"Salix aurita x purpurea = S. x dichroa Döll","2cd4p9h.28q","Salix x dichroa Döll","parent2","Salix purpurea","2cd4p9h.m2v","N","N","native"
"Salix cinerea x phylicifolia = S. x laurina Sm.","2cd4p9h.28t","Salix x laurina Sm.","parent1","Salix cinerea","2cd4p9h.1t0","N","N","native"
"Salix cinerea x phylicifolia = S. x laurina Sm.","2cd4p9h.28t","Salix x laurina Sm.","parent2","Salix phylicifolia","2cd4p9h.m2f","N","N","native"
"Salix aurita x herbacea = S. x margarita F.B.White","2cd4p9h.291","Salix x margarita F.B.White","parent1","Salix aurita","2cd4p9h.1sp","N","N","native"
"Salix aurita x herbacea = S. x margarita F.B.White","2cd4p9h.291","Salix x margarita F.B.White","parent2","Salix herbacea","2cd4p9h.w08","N","N","native"
"Salix purpurea x viminalis = S. x rubra Huds.","2cd4p9h.294","Salix x rubra Huds.","parent1","Salix purpurea","2cd4p9h.m2v","N","N","native"
"Salix purpurea x viminalis = S. x rubra Huds.","2cd4p9h.294","Salix x rubra Huds.","parent2","Salix viminalis","2cd4p9h.5xw","AR","Arch-denizen","native"
"Rumex longifolius x obtusifolius = R. x hybridus Kindb.","2cd4p9h.29m","Rumex x hybridus Kindb.","parent1","Rumex longifolius","2cd4p9h.m1a","N","N","native"
"Rumex longifolius x obtusifolius = R. x hybridus Kindb.","2cd4p9h.29m","Rumex x hybridus Kindb.","parent2","Rumex obtusifolius","2cd4p9h.m1d","N","N","native"
"Rumex obtusifolius x patientia = R. x erubescens Simonk.","2cd4p9h.29p","Rumex x erubescens Simonk.","parent1","Rumex obtusifolius","2cd4p9h.m1d","N","N","native"
"Rumex obtusifolius x patientia = R. x erubescens Simonk.","2cd4p9h.29p","Rumex x erubescens Simonk.","parent2","Rumex patientia",NA,NA,"Neo-natd","neophyte"
"Rumex obtusifolius x pulcher = R. x ogulinensis Borbás","2cd4p9h.29s","Rumex x ogulinensis Borbás","parent1","Rumex obtusifolius","2cd4p9h.m1d","N","N","native"
"Rumex obtusifolius x pulcher = R. x ogulinensis Borbás","2cd4p9h.29s","Rumex x ogulinensis Borbás","parent2","Rumex pulcher","2cd4p9h.m1g","N","N","native"
"Rumex obtusifolius x palustris = R. x steinii Becker","2cd4p9h.2a0","Rumex x steinii Becker","parent1","Rumex obtusifolius","2cd4p9h.m1d","N","N","native"
"Rumex obtusifolius x palustris = R. x steinii Becker","2cd4p9h.2a0","Rumex x steinii Becker","parent2","Rumex palustris","2cd4p9h.fnw","N","N","native"
"Potamogeton acutifolius x friesii = P. x pseudofriesii Dandy & G.Taylor","2cd4p9h.2a3","Potamogeton x pseudofriesii Dandy & G.Taylor","parent1","Potamogeton acutifolius","2cd4p9h.xtm","N","N","native"
"Potamogeton acutifolius x friesii = P. x pseudofriesii Dandy & G.Taylor","2cd4p9h.2a3","Potamogeton x pseudofriesii Dandy & G.Taylor","parent2","Potamogeton friesii","2cd4p9h.cf9","N","N","native"
"Potamogeton crispus x praelongus = P. x undulatus Wolfg.","2cd4p9h.2a6","Potamogeton x undulatus Wolfg.","parent1","Potamogeton crispus","2cd4p9h.xts","N","N","native"
"Potamogeton crispus x praelongus = P. x undulatus Wolfg.","2cd4p9h.2a6","Potamogeton x undulatus Wolfg.","parent2","Potamogeton praelongus","2cd4p9h.vry","N","N","native"
"Carex elata x nigra = C. x turfosa Fr.","2cd4p9h.2bh","Carex x turfosa Fr.","parent1","Carex elata","2cd4p9h.f3y","N","N","native"
"Carex elata x nigra = C. x turfosa Fr.","2cd4p9h.2bh","Carex x turfosa Fr.","parent2","Carex nigra","2cd4p9h.np","N","N","native"
"Ranunculus aquatilis x trichophyllus = R. x lutzii A.Félix","2cd4p9h.2cw","Ranunculus x lutzii A.Félix","parent1","Ranunculus aquatilis","2cd4p9h.5vs","N","N","native"
"Ranunculus aquatilis x trichophyllus = R. x lutzii A.Félix","2cd4p9h.2cw","Ranunculus x lutzii A.Félix","parent1","Ranunculus aquatilis","2cd4p9h.cg2","N","N","native"
"Ranunculus aquatilis x trichophyllus = R. x lutzii A.Félix","2cd4p9h.2cw","Ranunculus x lutzii A.Félix","parent2","Ranunculus trichophyllus","2cd4p9h.p2r","N","N","native"
"Cerastium arvense x fontanum = C. x pseudoalpinum Murr","2cd4p9h.2d3","Cerastium x pseudoalpinum Murr","parent1","Cerastium arvense","2cd4p9h.f4k","N","N","native"
"Cerastium arvense x fontanum = C. x pseudoalpinum Murr","2cd4p9h.2d3","Cerastium x pseudoalpinum Murr","parent2","Cerastium fontanum","2cd4p9h.bqk","N","N","native"
"Geranium endressii x versicolor = G. x oxonianum P.F.Yeo","2cd4p9h.2d6","Geranium x oxonianum P.F.Yeo","parent1","Geranium endressii","2cd4p9h.144","AN","Neo-natd","neophyte"
"Geranium endressii x versicolor = G. x oxonianum P.F.Yeo","2cd4p9h.2d6","Geranium x oxonianum P.F.Yeo","parent2","Geranium versicolor",NA,NA,"Neo-natd","neophyte"
"Drosera intermedia x rotundifolia = D. x belezeana E.G.Camus","2cd4p9h.2d9","Drosera x belezeana E.G.Camus","parent1","Drosera intermedia","2cd4p9h.xv3","N","N","native"
"Drosera intermedia x rotundifolia = D. x belezeana E.G.Camus","2cd4p9h.2d9","Drosera x belezeana E.G.Camus","parent2","Drosera rotundifolia","2cd4p9h.z3","N","N","native"
"Epilobium ciliatum x montanum = E. x interjectum Smejkal","2cd4p9h.2ek","Epilobium x interjectum Smejkal","parent1","Epilobium ciliatum","2cd4p9h.bzd","AN","Neo-natd","neophyte"
"Epilobium ciliatum x montanum = E. x interjectum Smejkal","2cd4p9h.2ek","Epilobium x interjectum Smejkal","parent2","Epilobium montanum","2cd4p9h.ves","N","N","native"
"Epilobium alsinifolium x montanum = E. x facchinii Hausm.","2cd4p9h.2en","Epilobium x facchinii Hausm.","parent1","Epilobium alsinifolium","2cd4p9h.yk4","N","N","native"
"Epilobium alsinifolium x montanum = E. x facchinii Hausm.","2cd4p9h.2en","Epilobium x facchinii Hausm.","parent2","Epilobium montanum","2cd4p9h.ves","N","N","native"
"Epilobium lanceolatum x obscurum = E. x lamotteanum Hausskn.","2cd4p9h.2eq","Epilobium x lamotteanum Hausskn.","parent1","Epilobium lanceolatum","2cd4p9h.yka","N","N","native"
"Epilobium lanceolatum x obscurum = E. x lamotteanum Hausskn.","2cd4p9h.2eq","Epilobium x lamotteanum Hausskn.","parent2","Epilobium obscurum","2cd4p9h.bzm","N","N","native"
"Epilobium roseum x tetragonum = E. x borbasianum Hausskn.","2cd4p9h.2et","Epilobium x borbasianum Hausskn.","parent1","Epilobium roseum","2cd4p9h.xv9","N","N","native"
"Epilobium roseum x tetragonum = E. x borbasianum Hausskn.","2cd4p9h.2et","Epilobium x borbasianum Hausskn.","parent2","Epilobium tetragonum","2cd4p9h.7aw","N","N","native"
"Epilobium obscurum x roseum = E. x brachiatum Čelak.","2cd4p9h.2f1","Epilobium x brachiatum Čelak.","parent1","Epilobium obscurum","2cd4p9h.bzm","N","N","native"
