standardized_name,family_tpl,genus,taxon_status,accepted_plant_name_id,genus_acc
Dactyloctenium aegyptium,Poaceae,Dactyloctenium,Accepted,451340-wcs,Dactyloctenium
Senna bicapsularis,Leguminosae,Senna,Accepted,491975-az,Senna
Cenchrus ciliaris,Poaceae,Cenchrus,Accepted,451210-wcs,Cenchrus
Eragrostis ciliaris,Poaceae,Eragrostis,Accepted,451476-wcs,Eragrostis
Echinochloa colona,Poaceae,Echinochloa,Accepted,451441-wcs,Echinochloa
Ricinus communis,Euphorbiaceae,Ricinus,Accepted,178856-wcs,Ricinus
Kalanchoe daigremontiana,Crassulaceae,Kalanchoe,Accepted,333872-az,Kalanchoe
Cryptostegia grandiflora,Apocynaceae,Cryptostegia,Accepted,503273-wcs,Cryptostegia
Cleome gynandra,Cleomaceae,Cleome,Accepted,727141-az,Cleome
Tabebuia heterophylla,Bignoniaceae,Tabebuia,Accepted,318511-wcs,Tabebuia
Parthenium hysterophorus,Compositae,Parthenium,Accepted,1133721-az,Parthenium
Azadirachta indica,Meliaceae,Azadirachta,Accepted,667000-az,Azadirachta
Lawsonia inermis,Lythraceae,Lawsonia,Accepted,353848-az,Lawsonia
Senna italica,Leguminosae,Senna,Accepted,491975-az,Senna
Ziziphus jujuba,Rhamnaceae,Ziziphus,Accepted,471069-az,Ziziphus
Albizia lebbeck,Leguminosae,Albizia,Accepted,627218-az,Albizia
Antigonon leptopus,Polygonaceae,Antigonon,Accepted,642288-az,Antigonon
Leucaena leucocephala,Leguminosae,Leucaena,Accepted,497458-az,Leucaena
Chenopodium murale,Amaranthaceae,Chenopodium,Accepted,716928-az,Chenopodium
Brachiaria mutica,Poaceae,Brachiaria,Synonym,449435-wcs,Urochloa
Moringa oleifera,Moringaceae,Moringa,Accepted,501714-az,Moringa
Bothriochloa pertusa,Poaceae,Bothriochloa,Accepted,451141-wcs,Bothriochloa
Calotropis procera,Apocynaceae,Calotropis,Accepted,502081-wcs,Calotropis
Pennisetum purpureum,Poaceae,Pennisetum,Synonym,451210-wcs,Cenchrus
Melinis repens,Poaceae,Melinis,Accepted,423885-wcs,Melinis
Catharanthus roseus,Apocynaceae,Catharanthus,Accepted,35711-wcs,Catharanthus
Cyperus rotundus,Cyperaceae,Cyperus,Accepted,235513-wcs,Cyperus
Ziziphus spina-christi,Rhamnaceae,Ziziphus,Accepted,471069-az,Ziziphus
Tecoma stans,Bignoniaceae,Tecoma,Accepted,318510-wcs,Tecoma
Clitoria ternatea,Leguminosae,Clitoria,Accepted,727924-az,Clitoria
Aloe vera,Xanthorrhoeaceae,Aloe,Accepted,297004-wcs,Aloe
Cleome viscosa,Cleomaceae,Cleome,Accepted,727141-az,Cleome
Erythrina abyssinica,Leguminosae,Erythrina,Accepted,800760-az,Erythrina
Erythrina abyssinica subsp. abyssinica,Leguminosae,Erythrina,Accepted,800760-az,Erythrina
Rumex abyssinicus,Polygonaceae,Rumex,Accepted,425606-az,Rumex
Parkinsonia aculeata,Leguminosae,Parkinsonia,Accepted,531015-az,Parkinsonia
Ageratina adenophora,Compositae,Ageratina,Accepted,1133625-az,Ageratina
Solanum aethiopicum,Solanaceae,Solanum,Accepted,936484-az,Solanum
Inga affinis,Leguminosae,Inga,Accepted,864988-az,Inga
Funtumia africana,Apocynaceae,Funtumia,Accepted,84893-wcs,Funtumia
Senna alata,Leguminosae,Senna,Accepted,491975-az,Senna
Populus alba,Salicaceae,Populus,Accepted,917745-az,Populus
Ipomoea alba,Convolvulaceae,Ipomoea,Accepted,480428-wcs,Ipomoea
Melilotus albus,Leguminosae,Melilotus,Accepted,367483-az,Melilotus
Phyllanthus amarus,Phyllanthaceae,Phyllanthus,Accepted,153270-wcs,Phyllanthus
Dysphania ambrosioides,Amaranthaceae,Dysphania,Accepted,780222-az,Dysphania
Schwenckia americana,Solanaceae,Schwenckia,Accepted,579661-az,Schwenckia
Solanum americanum,Solanaceae,Solanum,Accepted,936484-az,Solanum
Physalis angulata,Solanaceae,Physalis,Accepted,549871-az,Physalis
Mercurialis annua,Euphorbiaceae,Mercurialis,Accepted,125700-wcs,Mercurialis
Capsicum annuum,Solanaceae,Capsicum,Accepted,698409-az,Capsicum
Khaya anthotheca,Meliaceae,Khaya,Accepted,334992-az,Khaya
Diodella apiculata,Rubiaceae,Diodella,Synonym,99087-wcs,Hexasepalum
Celosia argentea,Amaranthaceae,Celosia,Accepted,707777-az,Celosia
Cicer arietinum,Leguminosae,Cicer,Accepted,720544-az,Cicer
Anagallis arvensis,Primulaceae,Anagallis,Synonym,492734-az,Lysimachia
Spergula arvensis,Caryophyllaceae,Spergula,Accepted,487459-az,Spergula
Torilis arvensis,Apiaceae,Torilis,Accepted,435685-az,Torilis
Achyranthes aspera,Amaranthaceae,Achyranthes,Accepted,617453-az,Achyranthes
Achyranthes aspera var. porphyristachya,Amaranthaceae,Achyranthes,Accepted,617453-az,Achyranthes
Achyranthes aspera var. sicula,Amaranthaceae,Achyranthes,Accepted,617453-az,Achyranthes
Macroptilium atropurpureum,Leguminosae,Macroptilium,Accepted,366216-az,Macroptilium
Citrus aurantiifolia,Rutaceae,Citrus,Accepted,723938-az,Citrus
Polygonum aviculare,Polygonaceae,Polygonum,Accepted,566799-az,Polygonum
Melia azedarach,Meliaceae,Melia,Accepted,505115-az,Melia
Capsicum baccatum,Solanaceae,Capsicum,Accepted,698409-az,Capsicum
Ocimum basilicum,Lamiaceae,Ocimum,Accepted,136790-wcs,Ocimum
Solanum betaceum,Solanaceae,Solanum,Accepted,936484-az,Solanum
Sorghum bicolor,Poaceae,Sorghum,Accepted,443224-wcs,Sorghum
Cenchrus biflorus,Poaceae,Cenchrus,Accepted,451210-wcs,Cenchrus
Bidens biternata,Compositae,Bidens,Accepted,1013108-az,Bidens
Hydrocotyle bonariensis,Araliaceae,Hydrocotyle,Accepted,855897-az,Hydrocotyle
Erigeron bonariensis,Compositae,Erigeron,Accepted,1133868-az,Erigeron
Caesalpinia bonduc,Leguminosae,Caesalpinia,Accepted,689726-az,Caesalpinia
Cinnamomum burmanni,Lauraceae,Cinnamomum,Accepted,721087-az,Cinnamomum
Capsella bursa-pastoris,Brassicaceae,Capsella,Accepted,697963-az,Capsella
Cajanus cajan,Leguminosae,Cajanus,Accepted,690288-az,Cajanus
Pityrogramma calomelanos,Pteridaceae,Pityrogramma,Accepted,1189843-az,Pityrogramma
Eucalyptus camaldulensis,Myrtaceae,Eucalyptus,Accepted,72366-wcs,Eucalyptus
Lantana camara,Verbenaceae,Lantana,Accepted,107863-wcs,Lantana
Haematoxylum campechianum,Leguminosae,Haematoxylum,Accepted,837497-az,Haematoxylum
Canavalia cathartica,Leguminosae,Canavalia,Accepted,696136-az,Canavalia
Amaranthus caudatus,Amaranthaceae,Amaranthus,Accepted,632636-az,Amaranthus
Gomphrena celosioides,Amaranthaceae,Gomphrena,Accepted,829018-az,Gomphrena
Ruta chalepensis,Rutaceae,Ruta,Accepted,527513-az,Ruta
Momordica charantia,Cucurbitaceae,Momordica,Accepted,372810-az,Momordica
Jatropha chevalieri,Euphorbiaceae,Jatropha,Accepted,104452-wcs,Jatropha
Prosopis chilensis,Leguminosae,Prosopis,Accepted,536375-az,Prosopis
Cymbopogon citratus,Poaceae,Cymbopogon,Accepted,451325-wcs,Cymbopogon
Ixora coccinea,Rubiaceae,Ixora,Accepted,103177-wcs,Ixora
Ageratum conyzoides,Compositae,Ageratum,Accepted,1133601-az,Ageratum
Eleusine coracana,Poaceae,Eleusine,Accepted,451451-wcs,Eleusine
Drymaria cordata,Caryophyllaceae,Drymaria,Accepted,778470-az,Drymaria
Vernicia cordata,Euphorbiaceae,Vernicia,Accepted,212843-wcs,Vernicia
Sida cordifolia,Malvaceae,Sida,Accepted,595632-az,Sida
Oxalis corniculata,Oxalidaceae,Oxalis,Accepted,397716-az,Oxalis
Eichhornia crassipes,Pontederiaceae,Eichhornia,Synonym,259440-wcs,Pontederia
Rumex crispus,Polygonaceae,Rumex,Accepted,425606-az,Rumex
Anthephora cristata,Poaceae,Anthephora,Accepted,393790-wcs,Anthephora
Echinochloa crus-galli,Poaceae,Echinochloa,Accepted,451441-wcs,Echinochloa
Heliotropium curassavicum,Boraginaceae,Heliotropium,Accepted,843739-az,Heliotropium
Jatropha curcas,Euphorbiaceae,Jatropha,Accepted,104452-wcs,Jatropha
Euphorbia cyathophora,Euphorbiaceae,Euphorbia,Accepted,78175-wcs,Euphorbia
Acacia dealbata,Leguminosae,Acacia,Accepted,611079-az,Acacia
Caesalpinia decapetala,Leguminosae,Caesalpinia,Accepted,689726-az,Caesalpinia
Acacia decurrens,Leguminosae,Acacia,Accepted,611079-az,Acacia
Bryophyllum delagoense,Crassulaceae,Bryophyllum,Synonym,333872-az,Kalanchoe
Guilleminea densa,Amaranthaceae,Guilleminea,Accepted,834928-az,Guilleminea
Senna didymobotrya,Leguminosae,Senna,Accepted,491975-az,Senna
Boerhavia diffusa,Nyctaginaceae,Boerhavia,Accepted,678563-az,Boerhavia
Paspalum dilatatum,Poaceae,Paspalum,Accepted,431186-wcs,Paspalum
Desmodium discolor,Leguminosae,Desmodium,Accepted,762072-az,Desmodium
Eichhornia diversifolia,Pontederiaceae,Eichhornia,Synonym,259440-wcs,Pontederia
Arundo donax,Poaceae,Arundo,Accepted,451090-wcs,Arundo
Eragrostis echinochloidea,Poaceae,Eragrostis,Accepted,451476-wcs,Eragrostis
Inga edulis,Leguminosae,Inga,Accepted,864988-az,Inga
