family,genus,rn.bl,bn.bl,nspp_in_genera,div_rate_basal_age_upper,div_rate_basal_age_lower,div_rate_root_age_upper,div_rate_root_age_lower,hyb_present,neo_present,type
Asteraceae,Stylotrichium,0.42793000000006,0.42346,6,4.2312366439051035,0.9575050963684041,4.187038696113392,0.9475033489311513,no hybrid,no neophyte,no hybrid & no neophyte
Asteraceae,Lasiolaena,0.427931,0.427931,7,4.547252124887688,1.0983163856924023,4.547252124887688,1.0983163856924023,no hybrid,no neophyte,no hybrid & no neophyte
Asteraceae,Semiria,0.429713,0.429713,1,0,0,0,0,no hybrid,no neophyte,no hybrid & no neophyte
Asteraceae,Bishopiella,0.526544,0.526544,1,0,0,0,0,no hybrid,no neophyte,no hybrid & no neophyte
Asteraceae,Agrianthus,0.715144000000066,0.71134,8,2.9232737392524473,0.7459558735093911,2.9077242369084324,0.7419879787317258,no hybrid,no neophyte,no hybrid & no neophyte
Asteraceae,Arrojadocharis,0.715144000000066,0.00252,2,275.05840498410527,37.821499922351165,0.9692414123028108,0.1332741095560001,no hybrid,no neophyte,no hybrid & no neophyte
Asteraceae,Vittetia,0.380483,0.380483,2,1.8217559800567837,0.25049786667032414,1.8217559800567837,0.25049786667032414,no hybrid,no neophyte,no hybrid & no neophyte
Asteraceae,Barrosoa,0.380483,0.380483,11,6.302240238850016,1.821755980056783,6.302240238850016,1.821755980056783,no hybrid,no neophyte,no hybrid & no neophyte
Asteraceae,Catolesia,0.401241000000084,0.002611,3,420.7630366404097,69.8282484848543,2.738035965088014,0.4543941341834868,no hybrid,no neophyte,no hybrid & no neophyte
Asteraceae,Bahianthus,0.401242,0.401242,1,0,0,0,0,no hybrid,no neophyte,no hybrid & no neophyte
Asteraceae,Morithamnus,0.603580000000079,0.23264,2,2.979484098005267,0.4096895624326209,1.1483932213788637,0.15790811459013296,no hybrid,no neophyte,no hybrid & no neophyte
Asteraceae,Acritopappus,0.383131000000105,0.379832,19,7.751950807637167,2.7107232070524816,7.68520161293561,2.6873821674071685,no hybrid,no neophyte,no hybrid & no neophyte
Asteraceae,Scherya,0.383132,0.383132,1,0,0,0,0,no hybrid,no neophyte,no hybrid & no neophyte
Asteraceae,Litothamnus,1.47589,1.47589,3,0.7443727436788039,0.12353329637978075,0.7443727436788039,0.12353329637978075,no hybrid,no neophyte,no hybrid & no neophyte
Asteraceae,Conocliniopsis,0.356536,0.356536,1,0,0,0,0,no hybrid,no neophyte,no hybrid & no neophyte
Asteraceae,Bejaranoa,0.356536,0.356536,2,1.9441155467048075,0.2673227382489424,1.9441155467048075,0.2673227382489424,no hybrid,no neophyte,no hybrid & no neophyte
Asteraceae,Dasycondylus,0.590304,0.590304,9,3.722191578129607,0.9957355276300328,3.722191578129607,0.9957355276300328,no hybrid,no neophyte,no hybrid & no neophyte
Asteraceae,Prolobus,1.02561,1.02561,1,0,0,0,0,no hybrid,no neophyte,no hybrid & no neophyte
Asteraceae,Gyptis,0.38425200000006,0.118024,7,16.487410603396878,3.982271650221442,5.064150997405373,1.2231650824085811,no hybrid,no neophyte,no hybrid & no neophyte
Asteraceae,Stomatanthes,0.384253,0.384253,17,7.373301819520514,2.4866727000893585,7.373301819520514,2.4866727000893585,no hybrid,no neophyte,no hybrid & no neophyte
Asteraceae,Austroeupatorium,1.101264,1.101264,14,2.39638935769739,0.7563210301390982,2.39638935769739,0.7563210301390982,no hybrid,neophyte,no hybrid & neophyte
Asteraceae,Pseudobrickellia,1.583846,1.583846,3,0.6936358008721237,0.1151131844850791,0.6936358008721237,0.1151131844850791,no hybrid,no neophyte,no hybrid & no neophyte
Asteraceae,Heterocondylus,2.890474,2.890474,14,0.9130188784314469,0.2881565870978614,0.9130188784314469,0.2881565870978614,no hybrid,no neophyte,no hybrid & no neophyte
Asteraceae,Trichogonia,2.02092200000004,0.61706,26,5.280031987199757,2.030212570082922,1.6121832203427038,0.6198967444044565,no hybrid,no neophyte,no hybrid & no neophyte
Asteraceae,Platypodanthera,2.020923,2.020923,3,0.5436190733977049,0.09021697352840985,0.5436190733977049,0.09021697352840985,no hybrid,no neophyte,no hybrid & no neophyte
Asteraceae,Trichogoniopsis,2.616863,2.616863,3,0.4198203301694089,0.06967180047024035,0.4198203301694089,0.06967180047024035,no hybrid,no neophyte,no hybrid & no neophyte
Asteraceae,Ageratum,2.90908900000005,2.904494,39,1.2613424734668572,0.540065125944087,1.259350142305575,0.5392120756407996,no hybrid,neophyte,no hybrid & neophyte
Asteraceae,Campuloclinium,3.21758,3.21758,16,0.8617000112630552,0.2847763635633473,0.8617000112630552,0.2847763635633473,no hybrid,neophyte,no hybrid & neophyte
Asteraceae,Urolepis,3.21758,3.21758,1,0,0,0,0,no hybrid,no neophyte,no hybrid & no neophyte
Asteraceae,Campovassouria,3.688266,3.688266,2,0.18793307764677095,0.02584146040560115,0.18793307764677095,0.02584146040560115,no hybrid,no neophyte,no hybrid & no neophyte
Asteraceae,Adenostemma,3.84768100000002,0.944008,33,3.7038961126033683,1.5202037750626294,0.9087311451927699,0.3729738835650136,no hybrid,neophyte,no hybrid & neophyte
Asteraceae,Gymnocoronis,3.847682,3.847682,5,0.418287663178532,0.08744803666758659,0.418287663178532,0.08744803666758659,no hybrid,neophyte,no hybrid & neophyte
Asteraceae,Ayapana,3.66297,3.66297,17,0.7734743511566341,0.26085702176852016,0.7734743511566341,0.26085702176852016,no hybrid,neophyte,no hybrid & neophyte
Asteraceae,Isocarpha,3.66297,3.66297,9,0.5998478222142741,0.1604672342121609,0.5998478222142741,0.1604672342121609,no hybrid,neophyte,no hybrid & neophyte
Asteraceae,Chromolaena,2.24887100000007,2.235858,160,2.2698998841759304,1.264531836068761,2.256765201398243,1.2572146743539045,no hybrid,neophyte,no hybrid & neophyte
Asteraceae,Praxelis,2.24887100000007,0.325646,19,9.041839848075641,3.161775109109764,1.3092965221955144,0.4578383629746331,no hybrid,neophyte,no hybrid & neophyte
Asteraceae,Critonia,4.092552,4.092552,36,0.8756196472167268,0.3675157693234622,0.8756196472167268,0.3675157693234622,no hybrid,no neophyte,no hybrid & no neophyte
Asteraceae,Steviopsis,1.97722900000002,1.289193,5,1.2484072690699533,0.2609944644604903,0.8139866006588432,0.1701736301769848,no hybrid,no neophyte,no hybrid & no neophyte
Asteraceae,Koanophyllon,1.97722900000002,1.1439,132,4.268556624343361,2.31329206869842,2.4695176545490285,1.3383248968046169,no hybrid,no neophyte,no hybrid & no neophyte
Asteraceae,Fleischmannia,2.719222,2.719222,101,1.6972209392397017,0.8818313741203809,1.6972209392397017,0.8818313741203809,no hybrid,neophyte,no hybrid & neophyte
Asteraceae,Macropodina,2.719222,2.719222,3,0.40401713750039897,0.06704916214783295,0.40401713750039897,0.06704916214783295,no hybrid,no neophyte,no hybrid & no neophyte
Asteraceae,Liatris,1.06343600000002,0.226433,61,18.154923814873765,8.593756868721933,3.8656523421938265,1.829832871047507,hybrid,neophyte,hybrid & neophyte
Asteraceae,Carphephorus,0.660927000000015,0.655893,8,3.1703975216686806,0.809016487540148,3.146249951476923,0.8028545528661383,no hybrid,no neophyte,no hybrid & no neophyte
Asteraceae,Hartwrightia,0.917197,0.917197,1,0,0,0,0,no hybrid,no neophyte,no hybrid & no neophyte
Asteraceae,Garberia,1.706684,1.706684,1,0,0,0,0,no hybrid,no neophyte,no hybrid & no neophyte
Asteraceae,Eupatorium,4.34784900000005,1.772499,70,2.396895706033887,1.166072736556114,0.9771487560973968,0.47537592944763074,hybrid,neophyte,hybrid & neophyte
Asteraceae,Eutrochium,4.45864900000004,0.241272,9,9.106836173846197,2.4361992477457766,0.49280052709603284,0.13183066550027006,no hybrid,neophyte,no hybrid & neophyte
Asteraceae,Brickelliastrum,0.906118,0.906118,2,0.7649634821954153,0.10518517434189029,0.7649634821954153,0.10518517434189029,no hybrid,no neophyte,no hybrid & no neophyte
Asteraceae,Carminatia,4.84912800000006,1.461156,4,0.9487654713938078,0.17955937933218008,0.28588528929734863,0.05410545245815076,no hybrid,no neophyte,no hybrid & no neophyte
Asteraceae,Brickellia,4.56623200000007,4.296156,117,1.1084732339323238,0.5897590343454548,1.0429110774042325,0.5548769344083685,no hybrid,neophyte,no hybrid & neophyte
Asteraceae,Pleurocoronis,5.410163,5.410163,3,0.20306454512888242,0.033699826935705,0.20306454512888242,0.033699826935705,no hybrid,no neophyte,no hybrid & no neophyte
Asteraceae,Asanthus,6.01541800000007,1.435237,3,0.7654570559901325,0.12703236942327614,0.18263274283983208,0.03030904199740608,no hybrid,no neophyte,no hybrid & no neophyte
Asteraceae,Calea,1.346271,1.346271,158,3.7604576144230744,2.0912644775254825,3.7604576144230744,2.0912644775254825,no hybrid,neophyte,no hybrid & neophyte
Asteraceae,Mikania,7.52432300000009,4.107708,442,1.4828974898112763,0.9272524353017869,0.8095492288246564,0.5062092957078779,no hybrid,neophyte,no hybrid & neophyte
Asteraceae,Trichocoronis,3.40839800000009,0.537645,2,1.2892283580428447,0.17727344214923402,0.2033645074782719,0.027963336383932398,no hybrid,no neophyte,no hybrid & no neophyte
Asteraceae,Shinnersia,3.408399,3.408399,1,0,0,0,0,no hybrid,neophyte,no hybrid & neophyte
Asteraceae,Sclerolepis,5.631997,5.631997,1,0,0,0,0,no hybrid,no neophyte,no hybrid & no neophyte
Asteraceae,Ageratina,8.34095700000006,3.192233,332,1.818518563311791,1.1055889041587725,0.6959794863966384,0.42312859115440177,no hybrid,neophyte,no hybrid & neophyte
Asteraceae,Stevia,4.78355900000003,3.435306,295,1.6554494290580868,0.9939267734554581,1.1888586210266843,0.713787079538928,no hybrid,neophyte,no hybrid & neophyte
Asteraceae,Carphochaete,3.38243,3.38243,7,0.575299458985201,0.13895442898913962,0.575299458985201,0.13895442898913962,no hybrid,no neophyte,no hybrid & no neophyte
Asteraceae,Hofmeisteria,8.07413500000001,1.22261,12,2.0324605964191362,0.6068471096501559,0.3077613453067105,0.09189062911746906,no hybrid,no neophyte,no hybrid & no neophyte
Asteraceae,Piqueria,8.843945,8.843945,6,0.20259731027590686,0.04584663383910284,0.20259731027590686,0.04584663383910284,no hybrid,no neophyte,no hybrid & no neophyte
Asteraceae,Perityle,4.29129600000005,3.651203,83,1.21024237978458,0.6078006301087598,1.0297216989451548,0.5171406223329663,no hybrid,neophyte,no hybrid & neophyte
Asteraceae,Pericome,4.291297,4.291297,2,0.16152393566792167,0.022210110324297042,0.16152393566792167,0.022210110324297042,no hybrid,no neophyte,no hybrid & no neophyte
Asteraceae,Amauria,4.636253,4.636253,3,0.2369612462193305,0.03932519575483792,0.2369612462193305,0.03932519575483792,no hybrid,no neophyte,no hybrid & no neophyte
Asteraceae,Eutetras,5.334209,5.334209,2,0.12994376121369547,0.01786772505620326,0.12994376121369547,0.01786772505620326,no hybrid,no neophyte,no hybrid & no neophyte
Asteraceae,Villanova,6.789151,6.789151,5,0.2370602616489308,0.049560281782098065,0.2370602616489308,0.049560281782098065,no hybrid,no neophyte,no hybrid & no neophyte
Asteraceae,Galeana,7.983106,7.983106,1,0,0,0,0,no hybrid,no neophyte,no hybrid & no neophyte
Asteraceae,Deinandra,2.16056500000008,1.87568,24,1.6943475594706696,0.636527802435615,1.4709364589113625,0.5525973384149008,no hybrid,no neophyte,no hybrid & no neophyte
Asteraceae,Holocarpha,3.1302960000001,0.468507,6,3.824402771416553,0.8654408751804442,0.5723929843145816,0.12952931866767597,no hybrid,no neophyte,no hybrid & no neophyte
Asteraceae,Calycadenia,3.71302500000007,2.391363,10,0.9628756039940594,0.26840504188297415,0.6201372446977875,0.17286549004447385,no hybrid,no neophyte,no hybrid & no neophyte
Asteraceae,Hemizonia,3.71302500000007,3.698959,7,0.5260696723200536,0.12706375746412316,0.5240767700339417,0.12658240363200532,no hybrid,neophyte,no hybrid & neophyte
Asteraceae,Blepharizonia,4.30517600000007,2.081551,2,0.3329955310054595,0.04578805890623142,0.1610032157941822,0.022138509506771244,no hybrid,no neophyte,no hybrid & no neophyte
Asteraceae,Layia,4.21647000000013,4.115146,16,0.6737522124949591,0.2226629946724016,0.6575615911508195,0.21731228536527633,no hybrid,neophyte,no hybrid & neophyte
Asteraceae,Lagophylla,4.21647000000013,1.624976,5,0.9904379587354523,0.20706289608044234,0.3817026831529812,0.0797995092153395,no hybrid,no neophyte,no hybrid & no neophyte
Asteraceae,Raillardella,3.1953160000001,1.011829,3,1.08576873035672,0.1801900882401617,0.3438196061572863,0.057059006619047656,no hybrid,no neophyte,no hybrid & no neophyte
Asteraceae,Adenothamnus,3.195317,3.195317,1,0,0,0,0,no hybrid,no neophyte,no hybrid & no neophyte
Asteraceae,Dubautia,1.09174900000011,1.089673,48,3.5526263483704668,1.5972371297081827,3.54587090156025,1.5941999258440622,hybrid,no neophyte,hybrid & no neophyte
Asteraceae,Argyroxiphium,1.04302200000012,0.542792,8,3.8310099295491375,0.9775904049104818,1.9936698762630092,0.5087411876855035,hybrid,no neophyte,hybrid & no neophyte
Asteraceae,Wilkesia,1.04302200000012,0.00277,2,250.233639191316,34.40800714957579,0.6645566254210031,0.09137887772675357,no hybrid,no neophyte,no hybrid & no neophyte
Asteraceae,Madia,2.35204900000014,0.703622,11,3.4079310663941302,0.9851130018105533,1.019492056839899,0.2946992943428916,no hybrid,neophyte,no hybrid & neophyte
Asteraceae,Carlquistia,2.35205,2.35205,1,0,0,0,0,no hybrid,no neophyte,no hybrid & no neophyte
Asteraceae,Anisocarpus,3.6644940000001,2.127382,2,0.3258216815597506,0.04480162932859493,0.18915222144173968,0.02600909697336722,no hybrid,no neophyte,no hybrid & no neophyte
Asteraceae,Kyhosia,3.064948,3.064948,1,0,0,0,0,no hybrid,no neophyte,no hybrid & no neophyte
Asteraceae,Hemizonella,3.064948,3.064948,1,0,0,0,0,no hybrid,no neophyte,no hybrid & no neophyte
Asteraceae,Holozonia,4.257248,4.257248,1,0,0,0,0,no hybrid,no neophyte,no hybrid & no neophyte
