genus,n_hyb,n_neo,nspp_in_genera
Abelmoschus,1,5,11
Abies,1,14,48
Abolboda,1,NA,21
Abronia,2,NA,20
Acacia,5,80,1080
Acaena,1,5,57
Acalypha,3,19,431
Acantholimon,1,NA,313
Acer,9,26,152
Achillea,49,22,134
Aconitum,23,8,314
Actaea,1,3,31
Adenandra,1,NA,18
Adenanthos,2,NA,34
Adenocarpus,1,1,17
Adenophora,1,3,62
Adenostyles,2,NA,6
Adiantum,7,9,234
Adonis,1,5,33
Aegilops,1,7,23
Aeonium,47,7,43
Aerangis,3,NA,58
Aerides,1,NA,29
Aesculus,5,6,12
Agave,5,18,278
Agrimonia,2,7,22
Agropyron,1,6,12
Agrostis,16,17,205
Aichryson,5,1,16
Ajuga,6,6,64
Akebia,1,1,5
Aletris,1,NA,24
Alisma,3,3,9
Alkanna,1,NA,65
Allium,1,39,987
Alnus,8,11,41
Alocasia,1,5,88
Aloe,13,13,578
Alopecurus,6,11,40
Alpinia,2,9,244
Alsophila,4,NA,296
Althaea,1,6,9
Amaranthus,10,36,92
Ambrosia,3,12,45
Amelanchier,3,6,23
Amorpha,1,2,15
Anacamptis,39,NA,11
Anacyclus,3,3,9
Anarrhinum,1,1,9
Anchusa,2,11,38
Andropogon,6,8,113
Androsace,6,4,164
Andryala,5,1,20
Anemia,9,NA,132
Anemone,3,17,65
Anemonoides,3,NA,35
Angelica,1,7,104
Angophora,2,1,14
Anguloa,4,NA,9
Anisodontea,1,1,19
Anisomeles,1,3,27
Anthemis,1,6,158
Anthericum,1,1,8
Anthoxanthum,1,5,52
Anthurium,1,3,1088
Anthyllis,2,4,22
Antidesma,1,2,101
Antirrhinum,5,3,21
Apocynum,1,1,4
Aquilegia,3,6,131
Arabis,1,8,98
Arachniodes,15,2,68
Arachnis,1,NA,16
Aragoa,4,NA,19
Arbutus,2,2,12
Arctium,8,3,44
Arctostaphylos,7,NA,72
Ardisia,1,6,722
Arenaria,1,5,179
Argemone,1,7,33
Argyroderma,1,NA,11
Argyroxiphium,1,NA,5
Aria,2,NA,54
Ariocarpus,1,NA,7
Arisarum,1,2,3
Aristolochia,3,16,527
Aristotelia,1,1,5
Armeria,5,3,98
Aronia,1,2,2
Artemisia,2,50,476
Arum,1,4,25
Asclepias,3,10,206
Asimina,7,1,9
Asperula,2,4,192
Asplenium,111,6,719
Aster,1,10,176
Astilbe,2,2,28
Athrotaxis,1,NA,2
Athyrium,61,2,197
Atriplex,7,47,244
Atropa,1,1,5
Attalea,4,NA,66
Aubrieta,1,2,20
Babiana,1,4,93
Baccharis,31,5,420
Bactris,1,1,79
Balsamorhiza,3,NA,11
Baptisia,7,6,16
Barbacenia,1,NA,113
Barbarea,3,5,28
Begonia,8,21,1892
Berberis,5,18,607
Betula,26,8,59
Bidens,1,27,224
Billbergia,1,1,63
Bistorta,1,NA,42
Blechnum,6,6,236
Bletia,3,NA,34
Blitum,1,3,10
Boechera,1,1,109
Boehmeria,3,5,53
Bolbitis,5,NA,68
Bornmuellera,1,NA,9
Botrychium,7,NA,58
Brachychiton,7,2,33
Brachyglottis,5,3,31
Brachypodium,4,4,18
Brachystegia,1,NA,31
Bromus,15,44,153
Brongniartia,2,NA,61
Broughtonia,2,NA,6
Broussonetia,1,1,4
Brugmansia,2,5,7
Bruguiera,3,2,5
Buddleja,3,16,113
Bulbophyllum,3,NA,2094
Bupleurum,1,10,209
Byrsonima,2,NA,159
Bystropogon,3,NA,7
Caladenia,20,NA,303
Calamagrostis,32,5,254
