id	relatedResourceID	relationshipOfResource
2787	2782	hybrid parent of
2787	9807	hybrid parent of
2796	2792	hybrid parent of
2796	2795	hybrid parent of
2841	2802	hybrid parent of
2841	2833	hybrid parent of
2850	2848	hybrid parent of
2850	2849	hybrid parent of
2958	2952	hybrid parent of
2958	2957	hybrid parent of
2975	2965	hybrid parent of
2975	2969	hybrid parent of
3007	2989	hybrid parent of
3007	2992	hybrid parent of
3130	3071	hybrid parent of
3130	3076	hybrid parent of
3208	3201	hybrid parent of
3208	3207	hybrid parent of
3243	3222	hybrid parent of
3243	3225	hybrid parent of
3244	3224	hybrid parent of
3244	3240	hybrid parent of
3291	3282	hybrid parent of
3291	3283	hybrid parent of
3315	3313	hybrid parent of
3315	3314	hybrid parent of
3322	3321	hybrid parent of
3322	3339	hybrid parent of
3352	3350	hybrid parent of
3352	3351	hybrid parent of
3504	3482	hybrid parent of
3504	3499	hybrid parent of
3505	3449	hybrid parent of
3505	3459	hybrid parent of
3507	3468	hybrid parent of
3507	3472	hybrid parent of
3594	3532	hybrid parent of
3594	3561	hybrid parent of
3595	3530	hybrid parent of
3595	3579	hybrid parent of
3636	3633	hybrid parent of
3636	3635	hybrid parent of
3637	3634	hybrid parent of
3637	3635	hybrid parent of
3668	3666	hybrid parent of
3668	3667	hybrid parent of
3706	3690	hybrid parent of
3706	3705	hybrid parent of
3707	3686	hybrid parent of
3707	3699	hybrid parent of
3709	3687	hybrid parent of
3709	3691	hybrid parent of
3710	3687	hybrid parent of
3710	3696	hybrid parent of
3715	3697	hybrid parent of
3715	3703	hybrid parent of
3716	3687	hybrid parent of
3716	3703	hybrid parent of
3718	3695	hybrid parent of
3718	3697	hybrid parent of
3732	3729	hybrid parent of
3732	3730	hybrid parent of
3867	3851	hybrid parent of
3867	3862	hybrid parent of
4084	4082	hybrid parent of
4084	4083	hybrid parent of
4188	4182	hybrid parent of
4188	4186	hybrid parent of
4229	4220	hybrid parent of
4229	4226	hybrid parent of
4230	4226	hybrid parent of
4230	4231	hybrid parent of
4411	4376	hybrid parent of
4411	4389	hybrid parent of
4576	4574	hybrid parent of
4576	4575	hybrid parent of
4596	4590	hybrid parent of
4596	4593	hybrid parent of
4725	4724	hybrid parent of
4725	4869	hybrid parent of
4747	4743	hybrid parent of
4747	4963	hybrid parent of
4748	4741	hybrid parent of
4748	4744	hybrid parent of
4749	4741	hybrid parent of
4749	5100	hybrid parent of
4764	4763	hybrid parent of
4764	4976	hybrid parent of
4770	4769	hybrid parent of
4770	4825	hybrid parent of
4777	4776	hybrid parent of
4777	5082	hybrid parent of
4779	4774	hybrid parent of
4779	5062	hybrid parent of
4780	4774	hybrid parent of
4780	5101	hybrid parent of
4787	4786	hybrid parent of
4787	4869	hybrid parent of
4796	4795	hybrid parent of
4796	5100	hybrid parent of
4800	4797	hybrid parent of
4800	5038	hybrid parent of
4801	4797	hybrid parent of
4801	5125	hybrid parent of
4808	4807	hybrid parent of
4808	4833	hybrid parent of
4829	4828	hybrid parent of
4829	4869	hybrid parent of
4855	4852	hybrid parent of
4855	4860	hybrid parent of
4862	4861	hybrid parent of
4862	5059	hybrid parent of
4870	4869	hybrid parent of
4870	5042	hybrid parent of
4872	4869	hybrid parent of
4872	5202	hybrid parent of
4874	4873	hybrid parent of
4874	4959	hybrid parent of
4883	4881	hybrid parent of
4883	4924	hybrid parent of
4918	4917	hybrid parent of
4918	5095	hybrid parent of
4925	4924	hybrid parent of
4925	5020	hybrid parent of
4927	4926	hybrid parent of
4927	5124	hybrid parent of
4964	4963	hybrid parent of
4964	4999	hybrid parent of
4969	4968	hybrid parent of
4969	5091	hybrid parent of
4974	4973	hybrid parent of
4974	5020	hybrid parent of
4977	4976	hybrid parent of
4977	5004	hybrid parent of
4985	4983	hybrid parent of
4985	5037	hybrid parent of
5000	4999	hybrid parent of
5000	5101	hybrid parent of
5015	5014	hybrid parent of
5015	5100	hybrid parent of
5016	5014	hybrid parent of
5016	5133	hybrid parent of
5053	5052	hybrid parent of
5053	5100	hybrid parent of
5068	5067	hybrid parent of
5068	5101	hybrid parent of
5150	4774	hybrid parent of
5150	5104	hybrid parent of
5151	4797	hybrid parent of
5151	4924	hybrid parent of
5152	4951	hybrid parent of
5152	4970	hybrid parent of
5154	5014	hybrid parent of
5154	5104	hybrid parent of
5155	4999	hybrid parent of
5155	5014	hybrid parent of
5159	4741	hybrid parent of
5159	5052	hybrid parent of
5160	4774	hybrid parent of
5160	4999	hybrid parent of
5161	4774	hybrid parent of
5161	4963	hybrid parent of
5162	4797	hybrid parent of
5162	4924	hybrid parent of
5163	4751	hybrid parent of
5163	4807	hybrid parent of
5164	4797	hybrid parent of
5164	5114	hybrid parent of
5165	4893	hybrid parent of
5165	4973	hybrid parent of
5167	4741	hybrid parent of
5167	4774	hybrid parent of
5168	4959	hybrid parent of
5168	5132	hybrid parent of
5169	5052	hybrid parent of
5169	5065	hybrid parent of
5170	4860	hybrid parent of
5170	5095	hybrid parent of
5171	4755	hybrid parent of
5171	4958	hybrid parent of
5172	4744	hybrid parent of
5172	4774	hybrid parent of
5174	4741	hybrid parent of
5174	5014	hybrid parent of
5175	4741	hybrid parent of
5175	5067	hybrid parent of
5176	4774	hybrid parent of
5176	5065	hybrid parent of
5178	4761	hybrid parent of
5178	5067	hybrid parent of
5179	5065	hybrid parent of
5179	5104	hybrid parent of
5181	4868	hybrid parent of
5181	5138	hybrid parent of
5182	4797	hybrid parent of
5182	4965	hybrid parent of
5183	4774	hybrid parent of
5183	5067	hybrid parent of
5184	4761	hybrid parent of
5184	5004	hybrid parent of
5185	4999	hybrid parent of
5185	5104	hybrid parent of
5186	4741	hybrid parent of
5186	4999	hybrid parent of
5187	4760	hybrid parent of
5187	5101	hybrid parent of
5188	5014	hybrid parent of
5188	5052	hybrid parent of
5189	5138	hybrid parent of
5189	5143	hybrid parent of
5191	4999	hybrid parent of
5191	5065	hybrid parent of
5193	5067	hybrid parent of
5193	5136	hybrid parent of
5195	5014	hybrid parent of
5195	5065	hybrid parent of
5196	5052	hybrid parent of
5196	5104	hybrid parent of
5197	4868	hybrid parent of
5197	5143	hybrid parent of
5198	4887	hybrid parent of
5198	4902	hybrid parent of
5199	5114	hybrid parent of
5199	5125	hybrid parent of
5200	4868	hybrid parent of
5200	4908	hybrid parent of
5222	5217	hybrid parent of
5222	5219	hybrid parent of
5264	5243	hybrid parent of
5264	5249	hybrid parent of
5286	5275	hybrid parent of
5286	5278	hybrid parent of
5324	5304	hybrid parent of
5324	5308	hybrid parent of
5337	5326	hybrid parent of
5337	5331	hybrid parent of
5367	5361	hybrid parent of
5367	5364	hybrid parent of
5368	5361	hybrid parent of
5368	5365	hybrid parent of
5369	5364	hybrid parent of
5369	5365	hybrid parent of
5385	5384	hybrid parent of
5385	5390	hybrid parent of
5386	5384	hybrid parent of
5386	5398	hybrid parent of
5389	5388	hybrid parent of
5389	5390	hybrid parent of
5394	5392	hybrid parent of
5394	5400	hybrid parent of
5399	5398	hybrid parent of
5399	5400	hybrid parent of
5401	5395	hybrid parent of
5401	5400	hybrid parent of
5402	5387	hybrid parent of
5402	5388	hybrid parent of
5403	5390	hybrid parent of
5403	5398	hybrid parent of
5404	5387	hybrid parent of
5404	5392	hybrid parent of
5405	5388	hybrid parent of
5405	5400	hybrid parent of
5409	5387	hybrid parent of
5409	5400	hybrid parent of
5410	5390	hybrid parent of
5410	5400	hybrid parent of
5411	5387	hybrid parent of
5411	5398	hybrid parent of
5418	5414	hybrid parent of
5418	5417	hybrid parent of
5419	5413	hybrid parent of
5419	5414	hybrid parent of
