"key"	"dataValue"	"taxonId"	"origTaxonId"	"prefTaxonName"	"origTaxon"	"origQualifier"
"Pteris cretica L."		"2cd4p9h.cf"	"2cd4p9h.cf"	"Pteris cretica L."	"Pteris cretica"	
"Acanthus mollis L."		"2cd4p9h.db"	"2cd4p9h.db"	"Acanthus mollis L."	"Acanthus mollis"	
"Aegopodium podagraria L."		"2cd4p9h.e4"	"2cd4p9h.e4"	"Aegopodium podagraria L."	"Aegopodium podagraria"	
"Alchemilla conjuncta Bab."		"2cd4p9h.f6"	"2cd4p9h.f6"	"Alchemilla conjuncta Bab."	"Alchemilla conjuncta"	
"Allium roseum L."		"2cd4p9h.ff"	"2cd4p9h.ff"	"Allium roseum L."	"Allium roseum"	
"Amaranthus albus L."		"2cd4p9h.g5"	"2cd4p9h.g5"	"Amaranthus albus L."	"Amaranthus albus"	
"Arenaria balearica L."		"2cd4p9h.v6"	"2cd4p9h.v6"	"Arenaria balearica L."	"Arenaria balearica"	
"Armoracia rusticana P.Gaertn., B.Mey. & Scherb."		"2cd4p9h.vv"	"2cd4p9h.vv"	"Armoracia rusticana P.Gaertn., B.Mey. & Scherb."	"Armoracia rusticana"	
"Artemisia absinthium L."		"2cd4p9h.w2"	"2cd4p9h.w2"	"Artemisia absinthium L."	"Artemisia absinthium"	
"Artemisia verlotiorum Lamotte"		"2cd4p9h.w8"	"2cd4p9h.w8"	"Artemisia verlotiorum Lamotte"	"Artemisia verlotiorum"	
"Asperugo procumbens L."		"2cd4p9h.wn"	"2cd4p9h.wn"	"Asperugo procumbens L."	"Asperugo procumbens"	
"Briza minor L."		"2cd4p9h.kp"	"2cd4p9h.kp"	"Briza minor L."	"Briza minor"	
"Ceratochloa cathartica (Vahl) Herter"		"2cd4p9h.x6"	"2cd4p9h.x6"	"Ceratochloa cathartica (Vahl) Herter"	"Ceratochloa cathartica"	
"Bromus hordeaceus L."		"2cd4p9h.xf"	"2cd4p9h.xf"	"Bromus hordeaceus L."	"Bromus hordeaceus"	
"Buddleja davidii Franch."		"2cd4p9h.xy"	"2cd4p9h.xy"	"Buddleja davidii Franch."	"Buddleja davidii"	
"Bunias orientalis L."		"2cd4p9h.m2"	"2cd4p9h.m2"	"Bunias orientalis L."	"Bunias orientalis"	
"Bupleurum falcatum L."		"2cd4p9h.m8"	"2cd4p9h.m8"	"Bupleurum falcatum L."	"Bupleurum falcatum"	
