genus,n_hyb,n_neo
Abelmoschus,1,5
Abies,1,14
Abolboda,1,NA
Abronia,2,NA
Acacia,5,80
Acaena,1,5
Acalypha,3,19
Acantholimon,1,NA
Acer,9,26
Achillea,49,22
Aconitum,23,8
Actaea,1,3
Adenandra,1,NA
Adenanthos,2,NA
Adenocarpus,1,1
Adenophora,1,3
Adenostyles,2,NA
Adiantum,7,9
Adonis,1,5
Aegilops,1,7
Aeonium,47,7
Aerangis,3,NA
Aerides,1,NA
Aesculus,5,6
Agave,5,18
Agrimonia,2,7
Agropyron,1,6
Agrostis,16,17
Aichryson,5,1
Ajuga,6,6
Akebia,1,1
Aletris,1,NA
Alisma,3,3
Alkanna,1,NA
Allium,1,39
Alnus,8,11
Alocasia,1,5
Aloe,13,13
Alopecurus,6,11
Alpinia,2,9
Alsophila,4,NA
Althaea,1,6
Amaranthus,10,36
Ambrosia,3,12
Amelanchier,3,6
Amorpha,1,2
Anacamptis,39,NA
Anacyclus,3,3
Anarrhinum,1,1
Anchusa,2,11
Andropogon,6,8
Androsace,6,4
Andryala,5,1
Anemia,9,NA
Anemone,3,17
Anemonoides,3,NA
Angelica,1,7
Angophora,2,1
Anguloa,4,NA
Anisodontea,1,1
Anisomeles,1,3
Anthemis,1,6
Anthericum,1,1
Anthoxanthum,1,5
Anthurium,1,3
Anthyllis,2,4
Antidesma,1,2
Antirrhinum,5,3
Apocynum,1,1
Aquilegia,3,6
Arabis,1,8
Arachniodes,15,2
Arachnis,1,NA
Aragoa,4,NA
Arbutus,2,2
Arctium,8,3
Arctostaphylos,7,NA
Ardisia,1,6
Arenaria,1,5
Argemone,1,7
Argyroderma,1,NA
Argyroxiphium,1,NA
Aria,2,NA
Ariocarpus,1,NA
Arisarum,1,2
Aristolochia,3,16
Aristotelia,1,1
Armeria,5,3
Aronia,1,2
Artemisia,2,50
Arum,1,4
Asclepias,3,10
Asimina,7,1
Asperula,2,4
Asplenium,111,6
Aster,1,10
Astilbe,2,2
Athrotaxis,1,NA
Athyrium,61,2
Atriplex,7,47
Atropa,1,1
Attalea,4,NA
Aubrieta,1,2
Babiana,1,4
Baccharis,31,5
Bactris,1,1
Balsamorhiza,3,NA
Baptisia,7,6
Barbacenia,1,NA
Barbarea,3,5
Begonia,8,21
Berberis,5,18
Betula,26,8
Bidens,1,27
Billbergia,1,1
Bistorta,1,NA
Blechnum,6,6
Bletia,3,NA
Blitum,1,3
Boechera,1,1
Boehmeria,3,5
Bolbitis,5,NA
Bornmuellera,1,NA
Botrychium,7,NA
Brachychiton,7,2
Brachyglottis,5,3
Brachypodium,4,4
Brachystegia,1,NA
Bromus,15,44
Brongniartia,2,NA
Broughtonia,2,NA
Broussonetia,1,1
Brugmansia,2,5
Bruguiera,3,2
Buddleja,3,16
Bulbophyllum,3,NA
Bupleurum,1,10
Byrsonima,2,NA
Bystropogon,3,NA
Caladenia,20,NA
Calamagrostis,32,5
Calanthe,7,NA
Calceolaria,1,4
Calliandra,1,4
Callicarpa,2,4
Calligonum,8,NA
Callitriche,2,11
Calochortus,1,NA
Caltha,1,1
Calystegia,6,9
Camellia,1,3
Campanula,10,34
Cantinoa,1,NA
Capsella,1,4
Cardamine,16,18
